Image, Detector, Descriptor, TTC_Lidar, TTC_Camera
0000, SHITOMASI, BRISK, 
0001, SHITOMASI, BRISK, 13.3689, 12.2891
0002, SHITOMASI, BRISK, 13.0305, 13.3547
0003, SHITOMASI, BRISK, 12.3202, 16.3845
0004, SHITOMASI, BRISK, 12.7521, 14.0764
0005, SHITOMASI, BRISK, 12.2747, 12.7299
0006, SHITOMASI, BRISK, 13.7449, 13.7511
0007, SHITOMASI, BRISK, 12.9, 13.7314
0008, SHITOMASI, BRISK, 12.6218, 13.7901
0009, SHITOMASI, BRISK, 11.4559, 12.059
0010, SHITOMASI, BRISK, 12.7376, 11.8642
0011, SHITOMASI, BRISK, 11.4265, 11.9682
0012, SHITOMASI, BRISK, 11.7285, 9.88711
0013, SHITOMASI, BRISK, 12.6532, 9.42504
0014, SHITOMASI, BRISK, 11.8116, 9.30215
0015, SHITOMASI, BRISK, 9.38674, 8.3212
0016, SHITOMASI, BRISK, 11.1041, 8.89867
0017, SHITOMASI, BRISK, 11.7264, 11.0301
0018, SHITOMASI, BRISK, 9.87409, 8.53557

0000, SHITOMASI, BRIEF, 
0001, SHITOMASI, BRIEF, 13.7746, 12.2891
0002, SHITOMASI, BRIEF, 13.308, 13.3547
0003, SHITOMASI, BRIEF, 11.3769, 16.3845
0004, SHITOMASI, BRIEF, 13.0851, 14.0764
0005, SHITOMASI, BRIEF, 12.3342, 12.7299
0006, SHITOMASI, BRIEF, 13.0781, 13.7511
0007, SHITOMASI, BRIEF, 14.6347, 13.7314
0008, SHITOMASI, BRIEF, 11.7556, 13.7901
0009, SHITOMASI, BRIEF, 11.4926, 12.059
0010, SHITOMASI, BRIEF, 12.27, 11.8642
0011, SHITOMASI, BRIEF, 11.7611, 11.9682
0012, SHITOMASI, BRIEF, 11.3997, 9.88711
0013, SHITOMASI, BRIEF, 12.2277, 9.42504
0014, SHITOMASI, BRIEF, 11.0014, 9.30215
0015, SHITOMASI, BRIEF, 11.1203, 8.3212
0016, SHITOMASI, BRIEF, 12.1848, 8.89867
0017, SHITOMASI, BRIEF, 10.571, 11.0301
0018, SHITOMASI, BRIEF, 9.47889, 8.53557

0000, SHITOMASI, ORB, 
0001, SHITOMASI, ORB, 13.603, 12.2891
0002, SHITOMASI, ORB, 13.2121, 13.3547
0003, SHITOMASI, ORB, 12.884, 16.3845
0004, SHITOMASI, ORB, 12.1046, 14.0764
0005, SHITOMASI, ORB, 11.7035, 12.7299
0006, SHITOMASI, ORB, 13.5266, 13.7511
0007, SHITOMASI, ORB, 13.2491, 13.7314
0008, SHITOMASI, ORB, 12.0155, 13.7901
0009, SHITOMASI, ORB, 11.3526, 12.059
0010, SHITOMASI, ORB, 14.1452, 11.8642
0011, SHITOMASI, ORB, 11.4238, 11.9682
0012, SHITOMASI, ORB, 11.9654, 9.88711
0013, SHITOMASI, ORB, 12.305, 9.42504
0014, SHITOMASI, ORB, 11.4823, 9.30215
0015, SHITOMASI, ORB, 10.3981, 8.3212
0016, SHITOMASI, ORB, 11.7356, 8.89867
0017, SHITOMASI, ORB, 12.1119, 11.0301
0018, SHITOMASI, ORB, 9.11578, 8.53557

0000, SHITOMASI, FREAK, 
0001, SHITOMASI, FREAK, 13.7616, 12.2891
0002, SHITOMASI, FREAK, 11.8519, 13.3547
0003, SHITOMASI, FREAK, 11.4126, 16.3845
0004, SHITOMASI, FREAK, 13.3479, 14.0764
0005, SHITOMASI, FREAK, 11.6402, 12.7299
0006, SHITOMASI, FREAK, 14.2385, 13.7511
0007, SHITOMASI, FREAK, 12.6612, 13.7314
0008, SHITOMASI, FREAK, 12.1048, 13.7901
0009, SHITOMASI, FREAK, 11.8703, 12.059
0010, SHITOMASI, FREAK, 12.1142, 11.8642
0011, SHITOMASI, FREAK, 11.9599, 11.9682
0012, SHITOMASI, FREAK, 11.5628, 9.88711
0013, SHITOMASI, FREAK, 13.3476, 9.42504
0014, SHITOMASI, FREAK, 12.2526, 9.30215
0015, SHITOMASI, FREAK, 10.278, 8.3212
0016, SHITOMASI, FREAK, 9.3482, 8.89867
0017, SHITOMASI, FREAK, 11.5895, 11.0301
0018, SHITOMASI, FREAK, 7.15778, 8.53557

0000, FAST, BRISK, 
0001, FAST, BRISK, 12.551, 12.2891
0002, FAST, BRISK, 12.8653, 13.3547
0003, FAST, BRISK, 12.6318, 16.3845
0004, FAST, BRISK, 12.469, 14.0764
0005, FAST, BRISK, 12.2574, 12.7299
0006, FAST, BRISK, 12.4972, 13.7511
0007, FAST, BRISK, 13.248, 13.7314
0008, FAST, BRISK, 12.0361, 13.7901
0009, FAST, BRISK, 13.3673, 12.059
0010, FAST, BRISK, 12.041, 11.8642
0011, FAST, BRISK, 11.7538, 11.9682
0012, FAST, BRISK, 11.5965, 9.88711
0013, FAST, BRISK, 11.96, 9.42504
0014, FAST, BRISK, 11.3141, 9.30215
0015, FAST, BRISK, 11.2431, 8.3212
0016, FAST, BRISK, 11.0781, 8.89867
0017, FAST, BRISK, 9.90445, 11.0301
0018, FAST, BRISK, 11.6481, 8.53557

0000, FAST, BRIEF, 
0001, FAST, BRIEF, 11.6697, 12.2891
0002, FAST, BRIEF, 12.0207, 13.3547
0003, FAST, BRIEF, 13.7125, 16.3845
0004, FAST, BRIEF, 12.2391, 14.0764
0005, FAST, BRIEF, 14.3174, 12.7299
0006, FAST, BRIEF, 11.6857, 13.7511
0007, FAST, BRIEF, 13.0149, 13.7314
0008, FAST, BRIEF, 12.551, 13.7901
0009, FAST, BRIEF, 13.2624, 12.059
0010, FAST, BRIEF, 12.6289, 11.8642
0011, FAST, BRIEF, 12.0523, 11.9682
0012, FAST, BRIEF, 11.9881, 9.88711
0013, FAST, BRIEF, 12.2522, 9.42504
0014, FAST, BRIEF, 10.5364, 9.30215
0015, FAST, BRIEF, 10.4772, 8.3212
0016, FAST, BRIEF, 10.3405, 8.89867
0017, FAST, BRIEF, 9.98764, 11.0301
0018, FAST, BRIEF, 10.6503, 8.53557

0000, FAST, ORB, 
0001, FAST, ORB, 12.5425, 12.2891
0002, FAST, ORB, 12.5265, 13.3547
0003, FAST, ORB, 13.7667, 16.3845
0004, FAST, ORB, 12.5305, 14.0764
0005, FAST, ORB, 13.1788, 12.7299
0006, FAST, ORB, 12.7191, 13.7511
0007, FAST, ORB, 12.9267, 13.7314
0008, FAST, ORB, 11.5965, 13.7901
0009, FAST, ORB, 13.2766, 12.059
0010, FAST, ORB, 12.5612, 11.8642
0011, FAST, ORB, 11.7065, 11.9682
0012, FAST, ORB, 12.3381, 9.88711
0013, FAST, ORB, 11.8423, 9.42504
0014, FAST, ORB, 11.4873, 9.30215
0015, FAST, ORB, 10.8889, 8.3212
0016, FAST, ORB, 10.9588, 8.89867
0017, FAST, ORB, 8.85564, 11.0301
0018, FAST, ORB, 11.6293, 8.53557

0000, FAST, FREAK, 
0001, FAST, FREAK, 12.9991, 12.2891
0002, FAST, FREAK, 12.093, 13.3547
0003, FAST, FREAK, 14.6114, 16.3845
0004, FAST, FREAK, 13.2747, 14.0764
0005, FAST, FREAK, 12.7571, 12.7299
0006, FAST, FREAK, 11.5572, 13.7511
0007, FAST, FREAK, 13.0069, 13.7314
0008, FAST, FREAK, 12.4742, 13.7901
0009, FAST, FREAK, 12.2995, 12.059
0010, FAST, FREAK, 12.7188, 11.8642
0011, FAST, FREAK, 12.2277, 11.9682
0012, FAST, FREAK, 11.7492, 9.88711
0013, FAST, FREAK, 11.8251, 9.42504
0014, FAST, FREAK, 11.6048, 9.30215
0015, FAST, FREAK, 10.1464, 8.3212
0016, FAST, FREAK, 10.6085, 8.89867
